ProbeID	miRNA_name
20504586	hsa-miR-762
20504587	hsa-miR-802
20504588	hsa-miR-670-5p
20504589	hsa-miR-670-3p
20504590	hsa-miR-1298-5p
20504591	hsa-miR-1298-3p
20504592	hsa-miR-2113
20504593	hsa-miR-761
20504594	hsa-miR-764
20504595	hsa-miR-759
20505206	hsa-miR-765
20505207	hsa-miR-770-5p
20505608	hsa-miR-675-5p
20505609	hsa-miR-675-3p
20505738	hsa-miR-298
20505739	hsa-miR-891a-5p
20505740	hsa-miR-891a-3p
20505741	hsa-miR-300
20505742	hsa-miR-892a
20505743	hsa-miR-450b-5p
20505744	hsa-miR-450b-3p
20505745	hsa-miR-874-5p
20505746	hsa-miR-874-3p
20505747	hsa-miR-890
20505748	hsa-miR-891b
20505749	hsa-miR-888-5p
20505750	hsa-miR-888-3p
20505751	hsa-miR-892b
20505752	hsa-miR-541-5p
20505753	hsa-miR-541-3p
20505754	hsa-miR-889-5p
20505755	hsa-miR-889-3p
20505756	hsa-miR-875-5p
20505757	hsa-miR-875-3p
20505758	hsa-miR-876-5p
20505759	hsa-miR-876-3p
20505760	hsa-miR-708-5p
20505761	hsa-miR-708-3p
20505762	hsa-miR-147b
20505763	hsa-miR-190b
20505787	hsa-miR-744-5p
20505788	hsa-miR-744-3p
20505789	hsa-miR-885-5p
20505790	hsa-miR-885-3p
20505791	hsa-miR-877-5p
20505792	hsa-miR-877-3p
20505793	hsa-miR-887-5p
20505794	hsa-miR-887-3p
20505795	hsa-miR-665
20505796	hsa-miR-873-5p
20505797	hsa-miR-873-3p
20505798	hsa-miR-543
20505799	hsa-miR-374b-5p
20505800	hsa-miR-374b-3p
20505801	hsa-miR-760
20505802	hsa-miR-301b
20505803	hsa-miR-216b-5p
20505804	hsa-miR-216b-3p
20505805	hsa-miR-208b-5p
20505806	hsa-miR-208b-3p
20505961	hsa-miR-920
20505962	hsa-miR-921
20505963	hsa-miR-922
20505964	hsa-miR-924
20505965	hsa-miR-509-3-5p
20506002	hsa-miR-933
20506003	hsa-miR-934
20506004	hsa-miR-935
20506005	hsa-miR-936
20506006	hsa-miR-937-5p
20506007	hsa-miR-937-3p
20506008	hsa-miR-938
20506009	hsa-miR-939-5p
20506010	hsa-miR-939-3p
20506011	hsa-miR-940
20506012	hsa-miR-941
20506013	hsa-miR-942-5p
20506014	hsa-miR-942-3p
20506015	hsa-miR-943
20506016	hsa-miR-944
20506022	hsa-miR-297
20506708	hsa-miR-1178-5p
20506709	hsa-miR-1178-3p
20506710	hsa-miR-1179
20506711	hsa-miR-1180-5p
20506712	hsa-miR-1180-3p
20506713	hsa-miR-1181
20506714	hsa-miR-1182
20506715	hsa-miR-1183
20506716	hsa-miR-1184
20506763	hsa-miR-1225-5p
20506764	hsa-miR-1225-3p
20506767	hsa-miR-1226-5p
20506768	hsa-miR-1226-3p
20506771	hsa-miR-1227-5p
20506772	hsa-miR-1227-3p
20506774	hsa-miR-1228-5p
20506775	hsa-miR-1228-3p
20506776	hsa-miR-1229-5p
20506777	hsa-miR-1229-3p
20506779	hsa-miR-1231
20506781	hsa-miR-1233-5p
