Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0070244,negative regulation of thymocyte apoptotic process,1,57,7,18514,54.913690476190474,0.021356652808251223,JAK3,0.10171931543723779,False,True
CC,GO:0005815,microtubule organizing center,4,57,348,18514,3.9738920579201404,0.022201338064418603,BLOC1S2;HOOK3;RAB6C;SGOL1,0.10466345087511628,False,False
CC,GO:0000784,"nuclear chromosome, telomeric region",2,57,76,18514,9.033415233415234,0.02294581930317841,HIST1H4B;HIST1H4D,0.10708049008149925,False,False
BP,GO:0008608,attachment of spindle microtubules to kinetochore,1,57,8,18514,47.066326530612244,0.02437079182537608,SGOL1,0.10723148403165475,False,True
BP,GO:0022027,interkinetic nuclear migration,1,57,8,18514,47.066326530612244,0.02437079182537608,HOOK3,0.10723148403165475,False,True
BP,GO:0042487,regulation of odontogenesis of dentin-containing tooth,1,57,8,18514,47.066326530612244,0.02437079182537608,WNT10A,0.10723148403165475,False,True
BP,GO:0043457,regulation of cellular respiration,1,57,8,18514,47.066326530612244,0.02437079182537608,CISD1,0.10723148403165475,False,True
BP,GO:0048730,epidermis morphogenesis,1,57,8,18514,47.066326530612244,0.02437079182537608,WNT10A,0.10723148403165475,False,True
BP,GO:0097345,mitochondrial outer membrane permeabilization,1,57,8,18514,47.066326530612244,0.02437079182537608,BLOC1S2,0.10723148403165475,False,True
MF,GO:0019900,kinase binding,2,57,81,18514,8.459378596087458,0.025832602576629074,MOB1B;SGOL1,0.11259115462643993,False,False
BP,GO:0007167,enzyme linked receptor protein signaling pathway,1,57,9,18514,41.18080357142857,0.02737580992036978,JAK3,0.11497840166555309,False,True
BP,GO:0010950,positive regulation of endopeptidase activity,1,57,9,18514,41.18080357142857,0.02737580992036978,PSME2,0.11497840166555309,False,True
BP,GO:0046500,S-adenosylmethionine metabolic process,1,57,9,18514,41.18080357142857,0.02737580992036978,OCLN,0.11497840166555309,False,True
CC,GO:0046930,pore complex,1,57,9,18514,41.18080357142857,0.02737580992036978,TOMM40L,0.11497840166555309,False,True
MF,GO:0004984,olfactory receptor activity,4,57,382,18514,3.609663571927723,0.029915447217961577,OR10H2;OR1E2;OR1S2;OR2L3,0.11992941197776238,False,False
BP,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,4,57,383,18514,3.5999402598695673,0.03016359795739877,OR10H2;OR1E2;OR1S2;OR2L3,0.11992941197776238,False,False
CC,GO:0000930,gamma-tubulin complex,1,57,10,18514,36.6031746031746,0.0303717342021606,BLOC1S2,0.11992941197776238,False,True
MF,GO:0004659,prenyltransferase activity,1,57,10,18514,36.6031746031746,0.0303717342021606,RABGGTB,0.11992941197776238,False,True
CC,GO:0005742,mitochondrial outer membrane translocase complex,1,57,10,18514,36.6031746031746,0.0303717342021606,TOMM40L,0.11992941197776238,False,True
BP,GO:0006390,transcription from mitochondrial promoter,1,57,10,18514,36.6031746031746,0.0303717342021606,TFB2M,0.11992941197776238,False,True
CC,GO:0035253,ciliary rootlet,1,57,10,18514,36.6031746031746,0.0303717342021606,CROCCP2,0.11992941197776238,False,True
BP,GO:0050907,detection of chemical stimulus involved in sensory perception,2,57,93,18514,7.339060939060939,0.03332098596075316,OR1E2;OR1S2,0.12231483623540529,False,False
BP,GO:0006081,cellular aldehyde metabolic process,1,57,11,18514,32.941071428571426,0.03335859170056508,ALDH3B1,0.12231483623540529,False,True
