Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
E2F4,-0.340966666666667,1.26660498859591,-0.14567,-0.80981,-0.0674199999999998,-1.95594963125314,0.0817345313928761,0.965864665352879,0.28464549037999354,-4.30380602766233,True,False,False,False
FTO,-0.303486666666667,1.23412340845869,-0.42208,0.0200400000000001,-0.50842,-1.95476586262118,0.081890813726405,0.965864665352879,0.20487089692387128,-4.30422565330397,False,False,False,False
LOC105376562,0.27838,1.21283223206586,0.17188,0.1915,0.47176,1.95437327722295,0.081942705736846,0.965864665352879,0.10273494283071447,-4.3043648205449,True,False,False,False
ZCCHC11,-0.2818,1.21571073820661,-0.0754799999999998,-0.442,-0.32792,-1.95378827677987,0.0820200890046515,0.965864665352879,0.12136448846575539,-4.30457219906716,True,False,False,False
COL6A6,0.271476666666667,1.20704266092861,0.40411,0.24431,0.16601,1.95368185440145,0.0820341738900137,0.965864665352879,0.06061297932071927,-4.30460992533538,True,False,False,False
MIR3927,0.296323333333333,1.22801087191179,0.39635,0.48713,0.00549,1.9531374492299,0.0821062611662426,0.965864665352879,0.18276396294399058,-4.30480291596357,True,False,False,False
GATA1,-0.316223333333333,1.24506696040381,-0.21832,-0.68475,-0.0455999999999994,-1.95292617715917,0.0821342528641596,0.965864665352879,0.23945032063216462,-4.30487781213817,True,False,False,False
RP2,-0.28272,1.21648623859976,-0.44383,-0.33574,-0.0685899999999995,-1.95287661091914,0.0821408212656096,0.965864665352879,0.12669028705852134,-4.30489538347278,True,False,False,False
MIR602,-0.380983333333333,1.30222914554112,-0.16098,-0.97603,-0.0059400000000002,-1.95255346681379,0.0821836557591327,0.965864665352879,0.3329360674874182,-4.30500993918703,True,False,False,False
NCSTN,-0.278986666666666,1.21334234653252,-0.36,-0.39659,-0.0803699999999998,-1.95239273310541,0.0822049697573216,0.965864665352879,0.10781228966792364,-4.30506692014461,True,False,False,False
HDHD2,0.311406666666667,1.24091703793348,0.35384,0.60218,-0.0218000000000003,1.95230502145896,0.0822166029162336,0.965864665352879,0.22812720865718883,-4.30509801447424,False,False,False,False
GSTA2,-0.464583333333333,1.37991875967451,-0.94141,0.36971,-0.82205,-1.95228308274365,0.0822195128826225,0.965864665352879,0.3826018303468465,-4.30510579189575,False,False,False,False
KATNB1,0.265686666666667,1.20220811762978,0.32406,0.19724,0.27576,1.95166020853439,0.0823021720621284,0.965864665352879,0.01880239428610894,-4.30532660649073,True,False,False,False
